name,year,disrupted,source
Wolf Camera,2001,1,wikipedia_ch11
Zany Brainy,2001,1,wikipedia_ch11
Zilog,2001,1,wikipedia_ch11
This list may not reflect recent changes,2002,1,wikipedia_ch11
3dfx,2002,1,wikipedia_ch11
AboveNet,2002,1,wikipedia_ch11
Adelphia Communications Corporation,2002,1,wikipedia_ch11
Agway,2002,1,wikipedia_ch11
Amfac,2002,1,wikipedia_ch11
Archibald Candy Corporation,2002,1,wikipedia_ch11
Bangor and Aroostook Railroad,2002,1,wikipedia_ch11
Bill Knapp's,2002,1,wikipedia_ch11
Birch Communications,2002,1,wikipedia_ch11
Birmingham Steel Corporation,2002,1,wikipedia_ch11
Budget Rent a Car,2002,1,wikipedia_ch11
CNO Financial Group,2002,1,wikipedia_ch11
Consolidated Freightways,2002,1,wikipedia_ch11
Dade Behring,2002,1,wikipedia_ch11
Empire Sports Network,2002,1,wikipedia_ch11
Emporium (Oregon-based department store),2002,1,wikipedia_ch11
Exide,2002,1,wikipedia_ch11
Fannie May,2002,1,wikipedia_ch11
Fanny Farmer,2002,1,wikipedia_ch11
Federal-Mogul,2002,1,wikipedia_ch11
Florsheim Shoes,2002,1,wikipedia_ch11
Gadzoox,2002,1,wikipedia_ch11
Geneva Steel,2002,1,wikipedia_ch11
Global Crossing,2002,1,wikipedia_ch11
Globalstar,2002,1,wikipedia_ch11
Hispanic Television Network,2002,1,wikipedia_ch11
Horsehead Corporation,2002,1,wikipedia_ch11
Kaiser Aluminum,2002,1,wikipedia_ch11
Kmart,2002,1,wikipedia_ch11
Arthur D. Little,2002,1,wikipedia_ch11
Mars Music,2002,1,wikipedia_ch11
MCI Inc.,2002,1,wikipedia_ch11
MJ Designs,2002,1,wikipedia_ch11
Napster,2002,1,wikipedia_ch11
NII Holdings,2002,1,wikipedia_ch11
Peregrine Systems,2002,1,wikipedia_ch11
PSA Airlines,2002,1,wikipedia_ch11
PurchasePro,2002,1,wikipedia_ch11
Roadhouse Grill,2002,1,wikipedia_ch11
Rue21,2002,1,wikipedia_ch11
Six Flags New Orleans,2002,1,wikipedia_ch11
Soap (shoes),2002,1,wikipedia_ch11
Splash Amarillo Waterpark,2002,1,wikipedia_ch11
UAL Corporation,2002,1,wikipedia_ch11
United Airlines,2002,1,wikipedia_ch11
United Express,2002,1,wikipedia_ch11
US Airways,2002,1,wikipedia_ch11
US Airways Group,2002,1,wikipedia_ch11
USinternetworking,2002,1,wikipedia_ch11
Winston Tire Company,2002,1,wikipedia_ch11
This list may not reflect recent changes,2003,1,wikipedia_ch11
The 3DO Company,2003,1,wikipedia_ch11
ABCO Foods,2003,1,wikipedia_ch11
Andrew Corporation,2003,1,wikipedia_ch11
Ben Hogan Golf Company,2003,1,wikipedia_ch11
Big Bear Stores,2003,1,wikipedia_ch11
Bob's Stores,2003,1,wikipedia_ch11
Buffalo Sabres,2003,1,wikipedia_ch11
Chevys Fresh Mex,2003,1,wikipedia_ch11
Chi-Chi's,2003,1,wikipedia_ch11
Clark Brands,2003,1,wikipedia_ch11
Clothestime,2003,1,wikipedia_ch11
Com21,2003,1,wikipedia_ch11
Core-Mark,2003,1,wikipedia_ch11
DeLoach Vineyards,2003,1,wikipedia_ch11
Dillingham Construction,2003,1,wikipedia_ch11
"Divine, Inc.",2003,1,wikipedia_ch11
Eagle Food Centers,2003,1,wikipedia_ch11
Eddie Bauer,2003,1,wikipedia_ch11
Fantastic Sams,2003,1,wikipedia_ch11
FAO Schwarz,2003,1,wikipedia_ch11
Fleming Companies,2003,1,wikipedia_ch11
Food 4 Less,2003,1,wikipedia_ch11
Furr's,2003,1,wikipedia_ch11
GenOn Energy Holdings,2003,1,wikipedia_ch11
Gingiss Formalwear,2003,1,wikipedia_ch11
Grandy's,2003,1,wikipedia_ch11
Hamburger Hamlet,2003,1,wikipedia_ch11
Hawaiian Airlines,2003,1,wikipedia_ch11
International Workplace Group,2003,1,wikipedia_ch11
Koo Koo Roo,2003,1,wikipedia_ch11
Loral Space & Communications,2003,1,wikipedia_ch11
Minit Mart,2003,1,wikipedia_ch11
Montana Power Company,2003,1,wikipedia_ch11
Neenah Foundry,2003,1,wikipedia_ch11
NeoPhotonics Corporation,2003,1,wikipedia_ch11
New World Computing,2003,1,wikipedia_ch11
NRG Energy,2003,1,wikipedia_ch11
NTelos,2003,1,wikipedia_ch11
Ottawa Senators,2003,1,wikipedia_ch11
P&C Foods,2003,1,wikipedia_ch11
Penn Traffic,2003,1,wikipedia_ch11
Penthouse (magazine),2003,1,wikipedia_ch11
Piccadilly Restaurants,2003,1,wikipedia_ch11
Piggly Wiggly,2003,1,wikipedia_ch11
Quality Markets,2003,1,wikipedia_ch11
Rainbow Foods,2003,1,wikipedia_ch11
ReplayTV,2003,1,wikipedia_ch11
Right Start,2003,1,wikipedia_ch11
Santa Paula Hospital,2003,1,wikipedia_ch11
Solutia,2003,1,wikipedia_ch11
SONICblue Incorporated,2003,1,wikipedia_ch11
Spiegel (retailer),2003,1,wikipedia_ch11
Stargate Industries,2003,1,wikipedia_ch11
Top-Flite,2003,1,wikipedia_ch11
TPC Group,2003,1,wikipedia_ch11
Twinlab,2003,1,wikipedia_ch11
U-Haul,2003,1,wikipedia_ch11
Wherehouse Entertainment,2003,1,wikipedia_ch11
The Wiz (store),2003,1,wikipedia_ch11
Zany Brainy,2003,1,wikipedia_ch11
This list may not reflect recent changes,2004,1,wikipedia_ch11
Acclaim Entertainment,2004,1,wikipedia_ch11
Aloha Air Cargo,2004,1,wikipedia_ch11
Aloha Airlines,2004,1,wikipedia_ch11
Archdiocese of Portland in Oregon,2004,1,wikipedia_ch11
Archibald Candy Corporation,2004,1,wikipedia_ch11
Archway Cookies,2004,1,wikipedia_ch11
Arrow Air,2004,1,wikipedia_ch11
At Home (store),2004,1,wikipedia_ch11
ATA Airlines,2004,1,wikipedia_ch11
ATA Connection,2004,1,wikipedia_ch11
The Athlete's Foot,2004,1,wikipedia_ch11
Atlas Air,2004,1,wikipedia_ch11
Atlas Air Worldwide Holdings,2004,1,wikipedia_ch11
Avianca,2004,1,wikipedia_ch11
Avianca Services,2004,1,wikipedia_ch11
Balmain (fashion house),2004,1,wikipedia_ch11
Black Angus Steakhouse,2004,1,wikipedia_ch11
Breuners Home Furnishings,2004,1,wikipedia_ch11
Briazz,2004,1,wikipedia_ch11
Chicago Express Airlines,2004,1,wikipedia_ch11
Commerce One,2004,1,wikipedia_ch11
Diocese of Tucson,2004,1,wikipedia_ch11
Dolly Madison,2004,1,wikipedia_ch11
Don Pablo's,2004,1,wikipedia_ch11
Drake's Cakes,2004,1,wikipedia_ch11
Excel Communications,2004,1,wikipedia_ch11
Factory 2-U,2004,1,wikipedia_ch11
Fannie May,2004,1,wikipedia_ch11
Fanny Farmer,2004,1,wikipedia_ch11
Farmland Dairies,2004,1,wikipedia_ch11
Footaction,2004,1,wikipedia_ch11
Footstar,2004,1,wikipedia_ch11
Franchise Pictures,2004,1,wikipedia_ch11
Frank's Nursery & Crafts,2004,1,wikipedia_ch11
Gadzooks (retailer),2004,1,wikipedia_ch11
GameWorks,2004,1,wikipedia_ch11
Giovanola,2004,1,wikipedia_ch11
Ground Round,2004,1,wikipedia_ch11
Haynes International,2004,1,wikipedia_ch11
Helicol,2004,1,wikipedia_ch11
Hot 'n Now,2004,1,wikipedia_ch11
Interstate Bakeries,2004,1,wikipedia_ch11
Jillian's,2004,1,wikipedia_ch11
Just For Feet,2004,1,wikipedia_ch11
KB Toys,2004,1,wikipedia_ch11
"Lionel, LLC",2004,1,wikipedia_ch11
Merita Breads,2004,1,wikipedia_ch11
Metro3D,2004,1,wikipedia_ch11
Moda Center,2004,1,wikipedia_ch11
Mother's Cookies,2004,1,wikipedia_ch11
Parmalat,2004,1,wikipedia_ch11
PSA Airlines,2004,1,wikipedia_ch11
RCN Corporation,2004,1,wikipedia_ch11
Reynolds Brothers,2004,1,wikipedia_ch11
Roman Catholic Diocese of Spokane,2004,1,wikipedia_ch11
SAM Colombia,2004,1,wikipedia_ch11
Schlotzsky's,2004,1,wikipedia_ch11
Thom McAn,2004,1,wikipedia_ch11
Tower Records,2004,1,wikipedia_ch11
Trump Entertainment Resorts,2004,1,wikipedia_ch11
US Airways,2004,1,wikipedia_ch11
US Airways Group,2004,1,wikipedia_ch11
Wonder Bread,2004,1,wikipedia_ch11
This list may not reflect recent changes,2005,1,wikipedia_ch11
Aptiv,2005,1,wikipedia_ch11
ASARCO,2005,1,wikipedia_ch11
Classic World Productions,2005,1,wikipedia_ch11
Comair (United States),2005,1,wikipedia_ch11
Delta Air Lines,2005,1,wikipedia_ch11
Delta Connection,2005,1,wikipedia_ch11
